step,weight_bias_corrected,weight_no_bias_correction,step_bias_corrected,step_no_bias_correction,relative_step_difference
1,1.4900000005,1.4683772733982372,0.009999999500000025,0.03162272660176283,2.1622728182899165
2,1.480000001,1.4258814040419006,0.009999999499999952,0.04249586935633675,3.2495871481130525
3,1.4700000015,1.3763790957793154,0.00999999950000002,0.04950230826258518,3.950231073770062
4,1.4600000020000001,1.3219629742469448,0.00999999949999997,0.05441612153237064,4.441612425317702
5,1.4500000025000002,1.2639916132708495,0.009999999500000007,0.05797136097609516,4.797136387466331
6,1.4400000030000002,1.2034252912909993,0.009999999500000021,0.06056632197985032,5.056632500816644
7,1.4300000035000002,1.1409762938855046,0.00999999949999999,0.0624489974054946,5.24490005279447
8,1.4200000040000003,1.077189125828441,0.009999999500000042,0.06378716805706364,5.3787171246421925
9,1.4100000045000003,1.0124883807757095,0.00999999950000004,0.06470074505273156,5.4700748287768715
10,1.4000000050000003,0.947209606442683,0.009999999500000007,0.06527877433302642,5.527877759696525
11,1.3900000055000004,0.8816203587018723,0.00999999950000004,0.06558924774081075,5.558925102027304
12,1.3800000060000004,0.8159351862407351,0.009999999500000032,0.06568517246113718,5.568517574539577
13,1.3700000065000004,0.7503266514953209,0.009999999500000007,0.06560853474541425,5.56085380258411
14,1.3600000070000005,0.6849336489309181,0.009999999500000014,0.06539300256440271,5.539300583405291
15,1.3500000075000005,0.6198678149248495,0.009999999500000032,0.06506583400606857,5.506583725936022
16,1.3400000080000005,0.5552185507615677,0.009999999500000039,0.06464926416328182,5.464926739574494
17,1.3300000085000006,0.49105701333655344,0.009999999500000007,0.06416153742501422,5.41615406330912
18,1.3200000090000006,0.4274393219278749,0.009999999500000035,0.06361769140867853,5.361769458956303
19,1.3100000095000006,0.36440915945822355,0.009999999500000035,0.06303016246965137,5.3030165621159435
20,1.3000000100000006,0.3019998992659545,0.009999999500000011,0.06240926019226906,5.240926331273216
